LLT	PT
Abscess limb	Abscess limb
Abscess management	Abscess management
Abscess neck	Abscess neck
Abscess of Bartholin's gland	Bartholin's abscess
Abscess of breast associated with childbirth	Breast abscess
Abscess of breast, antepartum	Breast abscess
Abscess of breast, postpartum	Breast abscess
Abscess of external auditory meatus	Abscess of external auditory meatus
Abscess of external ear	Subcutaneous abscess
Abscess of eyelid	Abscess of eyelid
Abscess of finger	Abscess limb
Abscess of intestine	Abscess intestinal
Abscess of liver	Liver abscess
Abscess of lung	Lung abscess
Abscess of mediastinum	Mediastinal abscess
Abscess of prostate	Prostatic abscess
Abscess of salivary gland	Abscess of salivary gland
Abscess of thymus	Thymus abscess
Abscess of toe	Abscess limb
Abscess on buttock	Abscess limb
Abscess operations	Abscess drainage
Abscess oral	Abscess oral
Abscess perianal	Anal abscess
Abscess perinephric	Perinephric abscess
Abscess periodontal	Tooth abscess
Abscess peritonsillar	Peritonsillar abscess
Abscess pilonidal	Pilonidal cyst
Abscess rupture	Abscess rupture
