LLT	PT
Abscess soft tissue	Abscess soft tissue
Abscess sterile	Abscess sterile
Abscess sweat gland	Abscess sweat gland
Abscesses of skin	Subcutaneous abscess
Absence attacks	Petit mal epilepsy
Absence congenital	Congenital anomaly
Absence of cranial vault congenital	Congenital absence of cranial vault
Absence of ear lobe, congenital	Anotia
Absence of immediate treatment response	Absence of immediate treatment response
Absence of limbs	Limb reduction defect
Absence of menstruation	Amenorrhoea
Absence of nocturnal arterial blood pressure descent	Non-dipping
Absence of salivary gland, congenital	Congenital salivary gland anomaly
Absence of vertebra, congenital	Congenital absence of vertebra
Absence seizure	Petit mal epilepsy
Absent ankle jerk	Areflexia
Absent ankle jerks	Areflexia
Absent baseline fetal heart rate variability	Baseline foetal heart rate variability disorder
Absent baseline foetal heart rate variability	Baseline foetal heart rate variability disorder
Absent bowel movement	Constipation
Absent bowel sounds	Gastrointestinal sounds abnormal
Absent limb	Limb reduction defect
Absent limbs	Limb reduction defect
Absent nail	Anonychia
Absent reflex	Areflexia
Absent reflexes	Areflexia
Absent-minded	Daydreaming
Absolute CD4 lymphocytes decreased	CD4 lymphocytes decreased
Absolute CD4 lymphocytes increased	CD4 lymphocytes increased
Absolute CD8 lymphocytes decreased	CD8 lymphocytes decreased
Absolute CD8 lymphocytes increased	CD8 lymphocytes increased
Absolute glaucoma	Glaucoma
Absolute lymphocyte count	Lymphocyte count
Absolute lymphocyte count abnormal	Lymphocyte count abnormal
Absolute lymphocyte count decreased	Lymphocyte count decreased
Absolute lymphocyte count increased	Lymphocyte count increased
Absolute monocyte count	Monocyte count
Absolute monocyte count decreased	Monocyte count decreased
Absolute monocyte count increased	Monocyte count increased
Absolute neutrophil count	Neutrophil count
Absolute neutrophil count abnormal	Neutrophil count abnormal
Absolute neutrophil count decreased	Neutrophil count decreased
Absolute neutrophil count increased	Neutrophil count increased
Absolute reticulocyte count decreased	Reticulocyte count decreased
Absolute reticulocyte count increased	Reticulocyte count increased
Absorbable device issue	Absorbable device issue
Abstains from alcohol	Abstains from alcohol
Abstains from recreational drugs	Abstains from recreational drugs
Abulia	Abulia
Abusive behavior	Aggression
Abusive behaviour	Aggression
Academic doping	Performance enhancing product use
Academic underachievement	Educational problem
Academic underachievement disorder of childhood or adolescence	Emotional disorder of childhood
Acalculia	Acalculia
Acalculous cholecystitis	Cholecystitis
Acanthameba infection	Acanthamoeba infection
Acanthameba keratitis	Acanthamoeba keratitis
Acanthamoeba infection	Acanthamoeba infection
Acanthamoeba infection NOS	Acanthamoeba infection
Acanthamoeba keratitis	Acanthamoeba keratitis
Acanthocytosis	Spur cell anaemia
Acantholysis	Acantholysis
Acantholytic actinic keratosis	Actinic keratosis
Acanthoma	Acanthoma
Acanthosis	Acanthosis
Acanthosis nigricans	Acanthosis nigricans
Acardia	Twin reversed arterial perfusion sequence malformation
Acariasis	Acariasis
Acariasis NOS	Acariasis
Acariasis, unspecified	Acariasis
Acaridae allergy	Mite allergy
Acarodermatitis	Acarodermatitis
Acathesia	Akathisia
Acathisia	Akathisia
Accelerated hair loss	Alopecia
Accelerated hypertension	Accelerated hypertension
Accelerated idioventricular rhythm	Accelerated idioventricular rhythm
Accelerated junctional rhythm	Nodal rhythm
Accelerated nodulosis	Rheumatoid nodule
Accelerated phase chronic myologenic leukaemia	Chronic myeloid leukaemia
Accelerated phase chronic myologenic leukemia	Chronic myeloid leukaemia
Accelerated sexual maturation	Precocious puberty
Accelerated sexual maturity	Precocious puberty
Acceleromyography	Acceleromyography
Accessory auricle	Accessory auricle
Accessory breast	Accessory breast
Accessory cardiac pathway	Accessory cardiac pathway
Accessory carpal bone	Accessory carpal bone
Accessory carpal bones	Accessory carpal bone
Accessory kidney	Accessory kidney
Accessory liver lobe	Accessory liver lobe
Accessory muscle	Accessory muscle
Accessory navicular syndrome	Accessory navicular syndrome
Accessory nerve disorder	Accessory nerve disorder
Accessory nerve disorder NOS	Accessory nerve disorder
Accessory nipple removal	Mammoplasty
Accessory renal artery	Accessory renal artery
Accessory salivary gland	Accessory salivary gland
Accessory spleen	Accessory spleen
Accessory spleen nodule	Accessory spleen
Accident	Accident
Accident NOS	Accident
Accident at home	Accident at home
Accident at school	Accident
Accident at work	Accident at work
Accident automobile	Road traffic accident
Accident cerebrovascular	Cerebrovascular accident
Accident household	Accident at home
Accident in street	Road traffic accident
Accidental contact of product with eye	Accidental exposure to product
Accidental death	Accidental death
Accidental device ingestion	Accidental device ingestion
Accidental device ingestion by a child	Accidental device ingestion by a child
Accidental dose decrease	Wrong dose
Accidental dose increase	Wrong dose
Accidental drug intake by child	Accidental exposure to product by child
Accidental exposure to product	Accidental exposure to product
Accidental exposure to product by child	Accidental exposure to product by child
Accidental exposure to product packaging	Accidental exposure to product packaging
Accidental exposure to product packaging by child	Accidental exposure to product packaging by child
Accidental exposure to product related to device use	Accidental exposure to product
Accidental exposure while administering drug	Accidental exposure to product
Accidental exposure while preparing drug for administration	Accidental exposure to product
Accidental ingestion of drug	Accidental exposure to product
Accidental ingestion of product	Accidental exposure to product
Accidental ingestion of product desiccant	Accidental exposure to product packaging
Accidental ingestion of product desiccant by child	Accidental exposure to product packaging by child
Accidental injury	Injury
Accidental insertion of multiple contraceptive devices	Device use error
Accidental insertion of multiple intrauterine devices	Device use error
Accidental multiple drug administration	Product administration error
Accidental needle stick	Injury associated with device
Accidental occupational exposure to product	Accidental exposure to product
Accidental overdose	Accidental overdose
Accidental overdose (nontherapeutic agent or chemical)	Accidental overdose
Accidental overdose (therapeutic agent)	Accidental overdose
Accidental poisoning	Accidental poisoning
Accidental product intake by child	Accidental exposure to product by child
Accidental underdose	Accidental underdose
Accidental use of placebo	Accidental use of placebo
Accommodation abnormal	Accommodation disorder
Accommodation dark disorder	Delayed dark adaptation
Accommodation debility	Accommodation disorder
Accommodation difficulty	Accommodation disorder
Accommodation disorder	Accommodation disorder
Accommodation disturbance	Accommodation disorder
Accommodation paralysis	Accommodation disorder
Accommodation spasm	Accommodation disorder
Accommodative component in esotropia	Strabismus
Accomplished suicide	Completed suicide
Accoucheur's hand	Tetany
Accretions on teeth	Tooth deposit
Acephalalgic migraine	Typical aura without headache
Aceruloplasminaemia	Neurodegeneration with brain iron accumulation disorder
Aceruloplasminemia	Neurodegeneration with brain iron accumulation disorder
Acetabular calcification	Articular calcification
Acetabular dysplasia	Developmental hip dysplasia
Acetabular labral tear	Cartilage injury
Acetabular surgery	Hip surgery
Acetabulum fracture	Acetabulum fracture
Acetaminophen	Analgesic drug level
Acetaminophen decreased	Analgesic drug level decreased
Acetaminophen high	Analgesic drug level increased
Acetaminophen increased	Analgesic drug level increased
Acetaminophen normal	Analgesic drug level therapeutic
Acetate intolerance	Acetate intolerance
Acetoacetate	Blood ketone body
Acetoacetate abnormal NOS	Blood ketone body present
Acetoacetate decreased	Blood ketone body decreased
Acetoacetate high	Blood ketone body increased
Acetoacetate increased	Blood ketone body increased
Acetoacetate low	Blood ketone body decreased
Acetoacetate normal	Blood ketone body absent
Acetonaemia	Acetonaemia
Acetonaemic vomiting	Acetonaemic vomiting
Acetone	Blood ketone body
Acetone abnormal NOS	Blood ketone body present
Acetone breath	Ketoacidosis
Acetone decreased	Blood ketone body decreased
Acetone high	Blood ketone body increased
Acetone increased	Blood ketone body increased
Acetone normal	Blood ketone body absent
Acetone urine	Urine ketone body
Acetone urine absent	Urine ketone body absent
Acetone urine present	Urine ketone body present
Acetonemia	Acetonaemia
Acetonemic vomiting	Acetonaemic vomiting
Acetonuria	Ketonuria
Acetylation increased	Enzyme induction
Acetylcholinesterase	Blood cholinesterase
Acetylcholinesterase deficiency	Acetylcholinesterase deficiency
Achalasia	Oesophageal achalasia
Achalasia cardiae	Oesophageal achalasia
Achalasia esophageal	Oesophageal achalasia
Achalasia oesophageal	Oesophageal achalasia
Achard Thiers syndrome	Achard Thiers syndrome
Ache	Pain
Ache NOS	Pain
Ache across chest	Chest pain
Ache breast	Breast pain
Ache gum	Gingival pain
Ache in testis	Testicular pain
Ache stomach	Abdominal pain upper
Ache wrists	Arthralgia
Acheiria	Limb reduction defect
Acheiropody	Limb reduction defect
Achenbach syndrome	Achenbach syndrome
Achenbach's syndrome	Achenbach syndrome
Aches & pains in legs	Pain in extremity
Achilles tendinitis	Tendonitis
Achilles tendon discomfort	Tendon discomfort
Achilles tendon elongation	Tenotomy
Achilles tendon injury	Tendon injury
Achilles tendon pain	Tendon pain
Achilles tendon reflex decreased	Hyporeflexia
Achilles tendon reflex exaggerated	Hyperreflexia
Achilles tendon repair	Tenoplasty
Achilles tendon rupture	Tendon rupture
Achilles tendon thickening	Tendon disorder
Achilles tendonitis	Tendonitis
Achilles tenosynovitis	Tenosynovitis
Achillobursitis	Bursitis
Aching (l) knee	Arthralgia
Aching (r) knee	Arthralgia
Aching eye socket	Eye pain
Aching in knees	Arthralgia
Aching in limb	Pain in extremity
Aching joints	Arthralgia
Aching pain in hands, forearms, elbows	Pain in extremity
Achlorhydria	Achlorhydria
Acholia	Deficiency of bile secretion
Acholic stool	Faeces pale
Achondrogenesis	Chondrodystrophy
Achondroplasia	Chondrodystrophy
Achondroplastic dwarf	Chondrodystrophy
Achromatopsia	Colour blindness
Achromobacter infection	Achromobacter infection
Achromobacter xylosoxidans infection	Achromobacter infection
Achromotrichia acquired	Achromotrichia acquired
Achromotrichia congenital	Achromotrichia congenital
Achylia gastrica	Achlorhydria
Acid base balance	Acid base balance
Acid base balance abnormal	Acid base balance abnormal
Acid base balance normal	Acid base balance normal
Acid dyspepsia	Dyspepsia
Acid fast bacilli infection	Acid fast bacilli infection
Acid fast bacillus culture	Mycobacterium test
Acid fast bacillus culture negative	Mycobacterium test negative
Acid fast bacillus culture positive	Mycobacterium test positive
Acid fast stain	Mycobacterium test
Acid fast stain negative	Mycobacterium test negative
Acid fast stain positive	Mycobacterium test positive
Acid haemolysin test	Acid haemolysin test
Acid haemolysin test negative	Acid haemolysin test negative
Acid haemolysin test positive	Acid haemolysin test positive
Acid hemolysin test	Acid haemolysin test
Acid hemolysin test negative	Acid haemolysin test negative
Acid hemolysin test positive	Acid haemolysin test positive
Acid indigestion	Dyspepsia
Acid or alkali poisoning	Chemical poisoning
Acid peptic disease	Acid peptic disease
Acid phos	Blood acid phosphatase
Acid phosphatase	Blood acid phosphatase
Acid phosphatase abnormal	Blood acid phosphatase abnormal
Acid phosphatase decreased	Blood acid phosphatase decreased
Acid phosphatase high	Blood acid phosphatase increased
Acid phosphatase increased	Blood acid phosphatase increased
Acid phosphatase low	Blood acid phosphatase decreased
Acid phosphatase normal	Blood acid phosphatase normal
Acid phosphatase prostatic high	Prostatic acid phosphatase increased
Acid phosphatase prostatic increased	Prostatic acid phosphatase increased
Acid phosphatase prostatic low	Prostatic acid phosphatase decreased
Acid phosphatase serum increased	Blood acid phosphatase increased
Acid reflux (esophageal)	Gastrooesophageal reflux disease
Acid reflux (oesophageal)	Gastrooesophageal reflux disease
Acid sphingomyelinase deficiency	Niemann-Pick disease
Acid-base balance	Acid base balance
Acid-base balance disorder	Acid base balance abnormal
Acid-base balance disorder mixed	Acid-base balance disorder mixed
Acid-base balance normal	Acid base balance normal
Acidaemia	Acidosis
Acidemia	Acidosis
Acidosis	Acidosis
Acidosis NOS	Acidosis
Acidosis aggravated	Acidosis
Acidosis diabetic	Diabetic ketoacidosis
Acidosis hyperchloraemic	Acidosis hyperchloraemic
Acidosis hyperchloremic	Acidosis hyperchloraemic
Acidosis lactic	Lactic acidosis
Acidosis metabolic	Metabolic acidosis
Acidosis renal tubular	Renal tubular acidosis
Acidosis respiratory	Respiratory acidosis
Acinar cell carcinoma of pancreas	Acinar cell carcinoma of pancreas
Acinar cell carcinoma of prostate	Prostate cancer
Acinetobacter bacteraemia	Acinetobacter bacteraemia
Acinetobacter bacteremia	Acinetobacter bacteraemia
Acinetobacter baumannii test positive	Acinetobacter test positive
Acinetobacter infection	Acinetobacter infection
Acinetobacter sepsis	Acinetobacter sepsis
Acinetobacter test	Acinetobacter test
Acinetobacter test positive	Acinetobacter test positive
Acinic cell carcinoma	Adenocarcinoma
Acinic cell carcinoma of salivary gland	Acinic cell carcinoma of salivary gland
Acne	Acne
Acne NOS	Acne
Acne aggravated	Acne
Acne bromata	Bromoderma
Acne comedonal	Acne
Acne conglobata	Acne conglobata
Acne conglobate	Acne conglobata
Acne cosmetica	Acne cosmetica
Acne cystic	Acne cystic
Acne detergicans	Dermatitis contact
Acne excoriee	Dermatillomania
Acne follicular	Acne
Acne fulminans	Acne fulminans
Acne infantile	Acne infantile
Acne inversa	Hidradenitis
Acne keloid	Dermatitis papillaris capillitii
Acne keloidalis nuchae	Dermatitis papillaris capillitii
Acne medicamentosa	Acne
Acne neonatorum	Acne infantile
Acne occupational	Acne occupational
Acne papular	Acne
Acne pustular	Acne pustular
Acne rosacea	Rosacea
Acne scars	Scar
Acne steroid	Acne
Acne steroid-induced	Acne
Acne varioliformis	Acne varioliformis
Acne vulgaris	Acne
Acneiform dermatitis	Dermatitis acneiform
Acneiform eruption	Dermatitis acneiform
Aconuresis	Urinary incontinence
Acopia	Loss of personal independence in daily activities
Acoustic nerve disorder NOS	Auditory nerve disorder
Acoustic neurinoma	Acoustic neuroma
Acoustic neuritis	Acoustic neuritis
Acoustic neuroma	Acoustic neuroma
Acoustic neuroma removal	Acoustic neuroma removal
Acoustic reflex threshold elevated	Tympanometry abnormal
Acoustic schwannoma	Acoustic neuroma
Acoustic shock	Acoustic shock
Acoustic stimulation tests	Acoustic stimulation tests
